ObjectEn,ObjectFr,SizeInMeter,URL
Neptune Diameter,Diamètre de Neptune,49528000,https://en.wikipedia.org/wiki/Neptune
Uranus diameter,Diamètre d'Uranus,51118000,https://en.wikipedia.org/wiki/Uranus
Saturn Diameter,Diamètre de Saturne,120536000,https://en.wikipedia.org/wiki/Saturn
Jupiter Diameter,Diamètre de Jupiter,142984000,https://en.wikipedia.org/wiki/Jupiter
Moon to Earth,Distance Lune-Terre,384000000,https://en.wikipedia.org/wiki/Mercury_(planet)
Moon Orbit Diameter,Diamètre de l'orbite de la lune,768000000,https://en.wikipedia.org/wiki/Moon
Sun diameter,Diamètre du Soleil,1391400000,https://en.wikipedia.org/wiki/Sun
Diameter of Sirius,Diamètre de Sirius,2379290000,https://en.wikipedia.org/wiki/Sirius
Mercury to sun,Distance Mercure-soleil,57909000000,https://en.wikipedia.org/wiki/Mercury_(planet)
Venus to sun,Distance Vénus-Soleil,59843500000,https://en.wikipedia.org/wiki/Venus
Diameter of Aldebaran,Diamètre de Aldebaran,62752100000,https://en.wikipedia.org/wiki/Aldebaran
Mercury Orbit Diameter,Diamètre de l'orbite de Mercure,115818000000.000000000,https://en.wikipedia.org/wiki/Mercury_(planet)
Venus Orbit Diameter,Diamètre de l'orbite de Vénus,119687000000.000000000,https://en.wikipedia.org/wiki/Venus
Earth to sun,Distance Terre-Soleil,149598000000.000000000,https://en.wikipedia.org/wiki/Earth
Mars to sun,Distance Mars-Soleil,227950000000.00000000,https://en.wikipedia.org/wiki/Mars
Earth Orbit Diameter,Diamètre de l'orbite de la terre,299195000000.000000000,https://en.wikipedia.org/wiki/Earth
Mars Orbit Diameter,Diamètre de l'orbite de Mars,455900000000.0000000,https://en.wikipedia.org/wiki/Mars
Jupiter to sun,Distance Jupiter-Soleil,778570000000.00000000,https://en.wikipedia.org/wiki/Jupiter
Diameter of Betelgeuse,Diamètre de Betelgeuse,1063030000000.000000000,https://en.wikipedia.org/wiki/Betelgeuse
Saturn to sun,Distance Saturn-Soleil,1433530000000.000000000,https://en.wikipedia.org/wiki/Saturn
Jupiter Orbit Diameter,Diamètre de l'orbite de Jupiter,1557140000000.000000000,https://en.wikipedia.org/wiki/Jupiter
NML Cygni Star diameter,Diametre de l'étoile NML Cygni,1647550000000.000000000,https://en.wikipedia.org/wiki/NML_Cygni
Diameter of VY Canis Majoris,Diamètre de VY Canis Majoris,1975790000000.000000000,https://fr.wikipedia.org/wiki/VY_Canis_Majoris
Diameter of UY Scuti,Diamètre de UY Scuti,2365380000000.000000000,https://www.space.com/41290-biggest-star.html#section-about-uy-scuti
Uranus to sun,Distance Uranus-Soleil,2370980000000.000000000,https://en.wikipedia.org/wiki/Uranus
Saturn Orbit Diameter,Diamètre de l'orbite de Saturne,2867050000000.000000000,https://en.wikipedia.org/wiki/Saturn
Neptune to sun,Distance Neptune-Soleil,4500000000000.00000,https://en.wikipedia.org/wiki/Neptune
Uranus Orbit Diameter,Diamètre de l'orbite d'Uranus,4741950000000.000000000,https://en.wikipedia.org/wiki/Uranus
Neptune Orbit Diameter,Diamètre de l'orbite de Neptune,9000000000000.00000,https://en.wikipedia.org/wiki/Neptune
Heliosphre distance from the sun,Distance de l'héliosphere du soleil,1.84e+13,https://economictimes.indiatimes.com/definition/heliopause
Solar system diameter (heliosphere),Diamètre du système solaire (héliosphère),3.68e+13,https://economictimes.indiatimes.com/definition/heliopause
Light Year (ly),Une année lumière (al/ly),9460700000000000.00000000,https://en.wikipedia.org/wiki/Light-year
Oort cloud diameter (outer shell),Diamètre du nuage de Oort,29517000000000000.00000000,https://en.wikipedia.org/wiki/Oort_cloud
Nearest Star Distance (Alpha Centauri),Distance de l'étoile la plus proche (Alpha Centauri),41343000000000000.00000000,https://en.wikipedia.org/wiki/Alpha_Centauri
Distance to Sirius,Distance de Sirius,64437000000000000.00000000,https://starlust.org/the-brightest-stars-in-the-night-sky/
Distance to Vega,Distance de Vega,236991000000000000.000000000,https://starlust.org/the-brightest-stars-in-th1e-night-sky/
Distance to Arcturus,Distance de Arcturus,346830000000000000.00000000,https://starlust.org/the-brightest-stars-in-the-night-sky/
